,,ТИП,ПРОДУКТ,ПРОГРАММА,"Стоимость продукта

*только для продуктов с фиксированной стоимостью",ВАЛЮТА,ПОСТАВЩИК,% DS,Свойство,Срок Контракта,Год выплаты КВ,Баллы,МЕТОДИКА РАСЧЕТА БАЛЛОВ,Комментарии,Категория
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"1,21%",,5,4,,"Сумма оплаты клиента/100*0,0121",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"5,17%",,5,5,,"Сумма оплаты клиента/100*0,0517",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"20,66%",,6,1,,"Сумма оплаты клиента/100*0,2066",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"2,90%",,6,2,,"Сумма оплаты клиента/100*0,029",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"2,07%",,6,3,,"Сумма оплаты клиента/100*0,0207",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"1,44%",,6,4,,"Сумма оплаты клиента/100*0,0144",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"0,62%",,6,5,,"Сумма оплаты клиента/100*0,0062",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"24,11%",,7,1,,"Сумма оплаты клиента/100*0,2411",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"3,37%",,7,2,,"Сумма оплаты клиента/100*0,0337",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"2,41%",,7,3,,"Сумма оплаты клиента/100*0,0241",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"1,69%",,7,4,,"Сумма оплаты клиента/100*0,0169",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"0,72%",,7,5,,"Сумма оплаты клиента/100*0,0072",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"27,55%",,8,1,,"Сумма оплаты клиента/100*0,2755",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"3,86%",,8,2,,"Сумма оплаты клиента/100*0,0386",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"2,76%",,8,3,,"Сумма оплаты клиента/100*0,0276",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"1,93%",,8,4,,"Сумма оплаты клиента/100*0,0193",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Жизнь+,,RUB,ГГА,"0,83%",,8,5,,"Сумма оплаты клиента/100*0,0083",накопительная часть ,Страховые
